States,District,Town,Lat,Lon
Johor,Mersing,Mersing,2.3945,103.8626
Johor,Mersing,Mersing,2.747169,104.177386
Johor,Mersing,Mersing,2.583925,104.329822
Johor,Muar,Muar,2.118239,102.493106
Johor,Muar,Muar,2.042919,102.554001
Johor,Muar,Muar,2.0389,102.5707
Johor,Muar,Muar,2.0708,102.578
Johor,Muar,Muar,2.087,102.5867
Johor,Muar,Muar,2.082557,102.595416
Johor,Muar,Muar,2.052,102.6144
Johor,Muar,Muar,2.039669,102.631465
Johor,Muar,Pagoh,2.1275,102.713236
Johor,Muar,Pagoh,2.10214,102.716
Johor,Muar,Pagoh,2.15822,102.750642
Johor,Muar,Pagoh,2.112761,102.765576
Johor,Muar,Pagoh,2.17,102.767
Johor,Muar,Pagoh,2.1378,102.772
Johor,Muar,Pagoh,2.113,102.78
Johor,Muar,Pagoh,2.16165,102.780511
Johor,Muar,Pagoh,2.162508,102.792871
Johor,Muar,Pagoh,2.170571,102.805917
Johor,Pontian,Pontian,1.491088,103.390851
Johor,Pontian,Pontian,1.45917,103.410248
Johor,Pontian,Pontian,1.529355,103.419518
Johor,Pontian,Pontian,1.5237,103.4241
Johor,Pontian,Pontian,1.504473,103.443379
Johor,Pontian,Pontian,1.4666,103.4566
Johor,Pontian,Pontian,1.489,103.4822
Johor,Pontian,Pontian,1.4873,103.5587
Johor,Segamat,Segamat,2.5314,102.7103
Johor,Segamat,Segamat,2.6305,102.7172
Johor,Segamat,Segamat,2.509796,102.821517
Johor,Segamat,Segamat,2.513875,102.823967
Johor,Segamat,Segamat,2.6021,102.8366
Johor,Segamat,Segamat,2.550788,102.866224
Johor,Segamat,Segamat,2.483691,102.887863
Johor,Segamat,Segamat,2.3814,102.9532
Johor,Tangkak,Tangkak,2.238004,102.515669
Johor,Tangkak,Tangkak,2.279514,102.530432
Johor,Tangkak,Tangkak,2.2698,102.5325
Johor,Tangkak,Tangkak,2.2693,102.5338
Johor,Tangkak,Tangkak,2.2875,102.5507
Johor,Tangkak,Tangkak,2.2715,102.5518
Johor,Tangkak,Tangkak,2.268365,102.555838
Johor,Tangkak,Tangkak,2.298039,102.567168
Kedah,Baling,Baling,5.7138,100.8009
Kedah,Baling,Baling,5.6914,100.8494
Kedah,Baling,Baling,5.8149,100.8916
Kedah,Baling,Baling,5.6831,100.9106
Kedah,Baling,Baling,5.6875,100.9262
Kedah,Baling,Baling,5.7073,100.9602
Kedah,Bandar Baharu,Serdang,5.1964,100.5844
Kedah,Bandar Baharu,Serdang,5.2251,100.595
Kedah,Bandar Baharu,Serdang,5.2455,100.6017
Kedah,Bandar Baharu,Serdang,5.2648,100.6143
Kedah,Bandar Baharu,Serdang,5.2144,100.6151
Kedah,Bandar Baharu,Serdang,5.2035,100.6273
Kedah,Kota Setar,Alor Setar,6.2,100.34
Kedah,Kota Setar,Alor Setar,6.1281,100.3433
Kedah,Kota Setar,Alor Setar,6.1512,100.3475
Kedah,Kota Setar,Alor Setar,6.0402,100.3519
Kedah,Kota Setar,Alor Setar,6.1085,100.3547
Kedah,Kota Setar,Alor Setar,6.1609,100.3634
Kedah,Kota Setar,Alor Setar,6.0289,100.3652
Kedah,Kota Setar,Alor Setar,6.124,100.3684
Kedah,Kota Setar,Alor Setar,6.1205,100.3684
Kedah,Kota Setar,Alor Setar,6.1202,100.4227
Kedah,Kota Setar,Alor Setar,6.06615,100.424
Kedah,Kota Setar,Alor Setar,6.1759,100.4313
Kedah,Kuala Muda,Sungai Petani,5.632,100.3505
Kedah,Kuala Muda,Sungai Petani,5.6138,100.371
Kedah,Kuala Muda,Sungai Petani,5.616,100.4097
Kedah,Kuala Muda,Sungai Petani,5.7121,100.423585
Kedah,Kuala Muda,Sungai Petani,5.6272,100.4273
Kedah,Kuala Muda,Sungai Petani,5.76,100.4473
Kedah,Kuala Muda,Sungai Petani,5.595,100.46523
Kedah,Kuala Muda,Sungai Petani,5.647,100.4862
Kedah,Kuala Muda,Sungai Petani,5.6695,100.4926
Kedah,Kuala Muda,Sungai Petani,5.6552,100.5292
Kedah,Kuala Muda,Sungai Petani,5.6519,100.549
Kedah,Kuala Muda,Sungai Petani,5.771,100.569
Kedah,Kuala Muda,Sungai Petani,5.6852,100.5695
Kedah,Kuala Muda,Sungai Petani,5.6432,100.5699
Kedah,Kuala Muda,Sungai Petani,5.743,100.5722
Kedah,Kuala Muda,Sungai Petani,5.7275,100.5896
Kedah,Kuala Muda,Sungai Petani,5.7588,100.593
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.5,100.228
Kedah,Kubang Pasu,Jitra,6.224,100.246
Kedah,Kubang Pasu,Jitra,6.2996,100.2572
Kedah,Kubang Pasu,Jitra,6.295,100.266
Kedah,Kubang Pasu,Kodiang,6.372093,100.304713
Kedah,Kubang Pasu,Kodiang,6.4023,100.3054
Kedah,Kubang Pasu,Jitra,6.2901121,100.3116
Kedah,Kubang Pasu,Kodiang,6.36915,100.3174
Kedah,Kubang Pasu,Kodiang,6.3897,100.332
Kedah,Kubang Pasu,Jitra,6.3629,100.334
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.515,100.3938
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.495,100.3983
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.5,100.411
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.501502,100.415066
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.478767,100.418781
Kedah,Kubang Pasu,Jitra,6.2793,100.4203
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.49565,100.421892
Kedah,Kubang Pasu,Jitra,6.2757,100.422
Kedah,Kubang Pasu,Jitra,6.2683,100.4248
Kedah,Kubang Pasu,Jitra,6.2413,100.4322
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.513312,100.433044
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.516,100.4352
Kedah,Kubang Pasu,Jitra,6.235,100.436
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.491759,100.443593
Kedah,Kubang Pasu,Jitra,6.4535,100.444
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.513,100.445
Kedah,Kubang Pasu,Jitra,6.273,100.4583
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.496335,100.469149
Kedah,Kubang Pasu,Jitra,6.3288,100.478
Kedah,Kubang Pasu,Jitra,6.3288,100.478
Kedah,Kubang Pasu,Sintok,6.442,100.479
Kedah,Kubang Pasu,Sintok,6.446,100.486
Kedah,Kubang Pasu,Sintok,6.449068,100.486967
Kedah,Kubang Pasu,Sintok,6.443766,100.489529
Kedah,Kubang Pasu,Sintok,6.44798,100.491334
Kedah,Kubang Pasu,Sintok,6.449299,100.495321
Kedah,Kubang Pasu,Sintok,6.445937,100.495439
Kedah,Kubang Pasu,Sintok,6.425,100.498
Kedah,Kubang Pasu,Sintok,6.4576,100.503
Kedah,Kubang Pasu,Sintok,6.44,100.531
Kedah,Kulim,Kulim,5.375,100.3741
Kedah,Kulim,Kulim,5.3926,100.5367
Kedah,Kulim,Kulim,5.3846,100.5461
Kedah,Kulim,Kulim,5.507,100.55636
Kedah,Kulim,Kulim,5.3683,100.5576
Kedah,Kulim,Kulim,5.3459,100.5644
Kedah,Kulim,Kulim,5.3411,100.5649
Kedah,Kulim,Kulim,5.309,100.5663
Kedah,Kulim,Kulim,5.4165,100.5797
Kedah,Kulim,Kulim,5.321472,100.588
Kedah,Kulim,Kulim,5.505,100.642
Kedah,Kulim,Kulim,5.448,100.6634
Kedah,Kulim,Kulim,5.375,100.692
Kedah,Kulim,Kulim,5.3613,100.779
Kedah,Langkawi,Langkawi,6.3918,99.7166
Kedah,Langkawi,Langkawi,6.285,99.7472
Kedah,Langkawi,Langkawi,6.3406,99.7838
Kedah,Langkawi,Langkawi,6.3613,99.7897
Kedah,Langkawi,Langkawi,6.346,99.7904
Kedah,Langkawi,Langkawi,6.3311,99.8313
Kedah,Padang Terap,Kuala Nerang,6.2803,100.5442
Kedah,Padang Terap,Kuala Nerang,6.2465,100.57771
Kedah,Padang Terap,Kuala Nerang,6.2296,100.6219
Kedah,Padang Terap,Kuala Nerang,6.2692,100.6245
Kedah,Padang Terap,Kuala Nerang,6.201,100.718
Kedah,Padang Terap,Kuala Nerang,6.1984,100.7522
Kedah,Pendang,Pendang,5.9588,100.4771
Kedah,Pendang,Pendang,6.0218,100.481
Kedah,Pendang,Pendang,5.9717,100.5149
Kedah,Pendang,Pendang,6.0255,100.5213
Kedah,Pendang,Pendang,6.0326,100.5413
Kedah,Pendang,Pendang,5.906,100.546
Kedah,Pendang,Pendang,5.9397,100.5846
Kedah,Pendang,Pendang,6.0534,100.585
Kedah,Pendang,Pendang,5.90127,100.586589
Kedah,Pendang,Pendang,5.97995,100.60276
Kedah,Pendang,Pendang,6.0247,100.60333
Kedah,Pendang,Pendang,5.9962,100.6077
Kedah,Pokok Sena,Pokok Sena,6.1322,100.485
Kedah,Pokok Sena,Pokok Sena,6.1585,100.5013
Kedah,Pokok Sena,Pokok Sena,6.1186,100.508
Kedah,Pokok Sena,Pokok Sena,6.2139,100.5109
Kedah,Pokok Sena,Pokok Sena,6.1695,100.5735
Kedah,Pokok Sena,Pokok Sena,6.0494,100.6156
Kedah,Pokok Sena,Pokok Sena,6.103,100.6163
Kedah,Pokok Sena,Pokok Sena,6.1176,100.6276
Kedah,Pokok Sena,Pokok Sena,6.1091,100.7172
Kedah,Sik,Sik,5.872871,100.656953
Kedah,Sik,Sik,5.9835,100.6944
Kedah,Sik,Sik,5.7792,100.7191
Kedah,Sik,Sik,5.7513,100.726
Kedah,Sik,Sik,6.0347,100.7271
Kedah,Sik,Sik,5.8261,100.7296
Kedah,Sik,Sik,6.0098,100.7514
Kedah,Sik,Sik,5.77289,100.7609
Kedah,Sik,Sik,5.97429,100.774
Kedah,Sik,Sik,6.0037,100.794
Kedah,Sik,Sik,5.9903,100.8149
Kedah,Sik,Sik,5.9549,100.8191
Kedah,Yan,Yan,5.7855,100.3724
Kedah,Yan,Yan,5.8398,100.3849
Kedah,Yan,Yan,5.821,100.3878
Kedah,Yan,Yan,5.8544,100.4091
Kedah,Yan,Yan,5.8398,100.4161
Kedah,Yan,Yan,5.8744,100.4222
Kedah ,Kubang Pasu,Sintok,6.44478,100.487725
Kedah ,Kubang Pasu,Sintok,6.467,100.538
Kelantan,Bachok,Bachok,6.05454,102.391683
Kelantan,Bachok,Bachok,6.054185,102.393367
Kelantan,Bachok,Bachok,6.03967,102.394949
Kelantan,Bachok,Bachok,5.9745,102.3956
Kelantan,Bachok,Bachok,6.0291,102.399
Kelantan,Bachok,Bachok,6.044745,102.40633
Kelantan,Bachok,Bachok,5.9253,102.4292
Kelantan,Bachok,Bachok,5.9643,102.432
Kelantan,Gua Musang,Gua Musang,4.8364,101.8697
Kelantan,Gua Musang,Gua Musang,4.8685,101.9528
Kelantan,Gua Musang,Gua Musang,4.939,101.9624
Kelantan,Gua Musang,Gua Musang,4.881025,101.962607
Kelantan,Gua Musang,Gua Musang,4.875771,101.964445
Kelantan,Gua Musang,Gua Musang,4.88381,101.967192
Kelantan,Gua Musang,Gua Musang,4.881456,101.969248
Kelantan,Gua Musang,Gua Musang,4.8049,102.0139
Kelantan,Jeli,Jeli,5.716,101.8345
Kelantan,Jeli,Jeli,5.696787,101.838295
Kelantan,Jeli,Jeli,5.69638,101.841408
Kelantan,Jeli,Jeli,5.700443,101.844419
Kelantan,Jeli,Jeli,5.703134,101.84544
Kelantan,Jeli,Jeli,5.6217,101.8482
Kelantan,Jeli,Jeli,5.7054,101.8576
Kelantan,Jeli,Jeli,5.5684,101.8977
Kelantan,Kota Bharu,Kota Bharu,6.130404,102.235248
Kelantan,Kota Bharu,Kota Bharu,6.127713,102.236583
Kelantan,Kota Bharu,Kota Bharu,6.124343,102.239079
Kelantan,Kota Bharu,Kota Bharu,6.128359,102.244811
Kelantan,Kota Bharu,Kota Bharu,6.099,102.2529
Kelantan,Kota Bharu,Kota Bharu,6.1383,102.3051
Kelantan,Kota Bharu,Kota Bharu,6.0591,102.3305
Kelantan,Kota Bharu,Kota Bharu,6.0984,102.3834
Kelantan,Kuala Krai,Kuala Krai,5.6262,102.1598
Kelantan,Kuala Krai,Kuala Krai,5.545203,102.197099
Kelantan,Kuala Krai,Kuala Krai,5.533847,102.200619
Kelantan,Kuala Krai,Kuala Krai,5.510891,102.204382
Kelantan,Kuala Krai,Kuala Krai,5.533967,102.213486
Kelantan,Kuala Krai,Kuala Krai,5.4841,102.2662
Kelantan,Kuala Krai,Kuala Krai,5.594,102.2736
Kelantan,Kuala Krai,Kuala Krai,5.4253,102.3198
Kelantan,Lojing,Lojing,4.5987,101.4314
Kelantan,Lojing,Lojing,4.5978,101.4319
Kelantan,Lojing,Lojing,4.5966,101.4329
Kelantan,Lojing,Lojing,4.62429,101.433958
Kelantan,Lojing,Lojing,4.630108,101.463827
Kelantan,Lojing,Lojing,4.632845,101.4652
Kelantan,Lojing,Lojing,4.636524,101.487859
Kelantan,Lojing,Lojing,4.7919,101.9418
Kelantan,Machang,Machang,5.7644,102.182
Kelantan,Machang,Machang,5.762358,102.211198
Kelantan,Machang,Machang,5.775884,102.214278
Kelantan,Machang,Machang,5.770386,102.220468
Kelantan,Machang,Machang,5.775168,102.220897
Kelantan,Machang,Machang,5.7436,102.2418
Kelantan,Machang,Machang,5.7593,102.25
Kelantan,Machang,Machang,5.8129,102.2596
Kelantan,Pasir Mas,Pasir Mas,5.93,102.0853
Kelantan,Pasir Mas,Pasir Mas,6.0953,102.1017
Kelantan,Pasir Mas,Pasir Mas,6.0174,102.1169
Kelantan,Pasir Mas,Pasir Mas,6.048725,102.129403
Kelantan,Pasir Mas,Pasir Mas,6.02124,102.133523
Kelantan,Pasir Mas,Pasir Mas,6.039336,102.140389
Kelantan,Pasir Mas,Pasir Mas,6.037799,102.147942
Kelantan,Pasir Mas,Pasir Mas,5.9573,102.1924
Kelantan,Pasir Puteh,Pasir Puteh,5.7806,102.3521
Kelantan,Pasir Puteh,Pasir Puteh,5.8881,102.3897
Kelantan,Pasir Puteh,Pasir Puteh,5.836957,102.390312
Kelantan,Pasir Puteh,Pasir Puteh,5.82809,102.394787
Kelantan,Pasir Puteh,Pasir Puteh,5.844891,102.399117
Kelantan,Pasir Puteh,Pasir Puteh,5.83308,102.404242
Kelantan,Pasir Puteh,Pasir Puteh,5.8006,102.4117
Kelantan,Pasir Puteh,Pasir Puteh,5.8963,102.4556
Kelantan,Tanah Merah,Tanah Merah,5.844,101.9557
Kelantan,Tanah Merah,Tanah Merah,5.8106,102.089
Kelantan,Tanah Merah,Tanah Merah,5.8946,102.0993
Kelantan,Tanah Merah,Tanah Merah,5.7627,102.1096
Kelantan,Tanah Merah,Tanah Merah,5.8051,102.135744
Kelantan,Tanah Merah,Tanah Merah,5.818199,102.140542
Kelantan,Tanah Merah,Tanah Merah,5.797991,102.147278
Kelantan,Tanah Merah,Tanah Merah,5.813325,102.152994
Kelantan,Tumpat,Tumpat,6.2273,102.0956
Kelantan,Tumpat,Tumpat,6.2081,102.1114
Kelantan,Tumpat,Tumpat,6.1453,102.1526
Kelantan,Tumpat,Tumpat,6.198798,102.167237
Kelantan,Tumpat,Tumpat,6.199646,102.169379
Kelantan,Tumpat,Tumpat,6.195653,102.170223
Kelantan,Tumpat,Tumpat,6.196946,102.173106
Kelantan,Tumpat,Tumpat,6.1781,102.2227
Melaka,Alor Gajah,Alor Gajah,2.370012,102.199419
Melaka,Alor Gajah,Alor Gajah,2.350974,102.201394
Melaka,Alor Gajah,Alor Gajah,2.4624,102.2023
Melaka,Alor Gajah,Alor Gajah,2.384505,102.206458
Melaka,Alor Gajah,Alor Gajah,2.3782,102.2088
Melaka,Alor Gajah,Alor Gajah,2.390937,102.209805
Melaka,Alor Gajah,Alor Gajah,2.383476,102.209891
Melaka,Alor Gajah,Alor Gajah,2.3819,102.2102
Melaka,Alor Gajah,Alor Gajah,2.4473,102.2201
Melaka,Alor Gajah,Alor Gajah,2.382533,102.22225
Melaka,Alor Gajah,Alor Gajah,2.4007,102.2874
Melaka,Alor Gajah,Alor Gajah,2.3876,102.2915
Melaka,Jasin,Jasin,2.3191,102.3501
Melaka,Jasin,Jasin,2.3253,102.3707
Melaka,Jasin,Jasin,2.292434,102.411069
Melaka,Jasin,Jasin,2.3055,102.4225
Melaka,Jasin,Jasin,2.3057,102.4229
Melaka,Jasin,Jasin,2.317116,102.424491
Melaka,Jasin,Jasin,2.312883,102.432453
Melaka,Jasin,Jasin,2.314362,102.43332
Melaka,Jasin,Jasin,2.301766,102.440976
Melaka,Jasin,Jasin,2.295971,102.441294
Melaka,Jasin,Jasin,2.2546,102.4441
Melaka,Jasin,Jasin,2.315,102.4517
Melaka,Melaka Tengah,Melaka Tengah,2.2817,102.1684
Melaka,Melaka Tengah,Melaka Tengah,2.2543,102.211
Melaka,Melaka Tengah,Melaka Tengah,2.211806,102.227114
Melaka,Melaka Tengah,Melaka Tengah,2.18863,102.250153
Melaka,Melaka Tengah,Melaka Tengah,2.180079,102.25082
Melaka,Melaka Tengah,Melaka Tengah,2.197526,102.266377
Melaka,Melaka Tengah,Melaka Tengah,2.22147,102.267099
Melaka,Melaka Tengah,Melaka Tengah,2.211229,102.269264
Melaka,Melaka Tengah,Melaka Tengah,2.2573,102.2788
Melaka,Melaka Tengah,Melaka Tengah,2.2718,102.286
Melaka,Melaka Tengah,Melaka Tengah,2.2632,102.2879
Melaka,Melaka Tengah,Melaka Tengah,2.1946,102.3154
Melaka,Tampin,Tampin,2.4693,102.221
Melaka,Tampin,Tampin,2.5073,102.2273
Melaka,Tampin,Tampin,2.4682,102.2305
Melaka,Tampin,Tampin,2.5257,102.2376
Melaka,Tampin,Tampin,2.472,102.2541
Melaka,Tampin,Tampin,2.4974,102.2743
N.Sembilan,Jelebu,Kuala Klawang,2.9538,102.0413
N.Sembilan,Jelebu,Kuala Klawang,2.913596,102.045047
N.Sembilan,Jelebu,Kuala Klawang,2.940683,102.059981
N.Sembilan,Jelebu,Kuala Klawang,2.952855,102.066333
N.Sembilan,Jelebu,Kuala Klawang,2.931082,102.068221
N.Sembilan,Jelebu,Kuala Klawang,2.940155,102.070362
N.Sembilan,Jelebu,Kuala Klawang,2.951826,102.077491
N.Sembilan,Jelebu,Kuala Klawang,2.9505,102.0854
N.Sembilan,Jelebu,Kuala Klawang,2.8619,102.0959
N.Sembilan,Jelebu,Kuala Klawang,2.927,102.1048
N.Sembilan,Jelebu,Kuala Klawang,2.9652,102.1087
N.Sembilan,Jelebu,Kuala Klawang,2.9702,102.1886
N.Sembilan,Jempol,Bahau / Jempol,2.820256,102.367083
N.Sembilan,Jempol,Bahau / Jempol,2.791795,102.372576
N.Sembilan,Jempol,Bahau / Jempol,2.8482,102.375
N.Sembilan,Jempol,Bahau / Jempol,2.7784,102.3903
N.Sembilan,Jempol,Bahau / Jempol,2.784937,102.390773
N.Sembilan,Jempol,Bahau / Jempol,2.8075,102.4002
N.Sembilan,Jempol,Bahau / Jempol,2.8097,102.402
N.Sembilan,Jempol,Bahau / Jempol,2.808967,102.402582
N.Sembilan,Jempol,Bahau / Jempol,2.826429,102.413775
N.Sembilan,Jempol,Bahau / Jempol,2.8037,102.4204
N.Sembilan,Jempol,Bahau / Jempol,2.810655,102.433688
N.Sembilan,Jempol,Bahau / Jempol,2.8215,102.4428
N.Sembilan,Kuala Pilah,Kuala Pilah,2.737989,102.222745
N.Sembilan,Kuala Pilah,Kuala Pilah,2.7662,102.2311
N.Sembilan,Kuala Pilah,Kuala Pilah,2.6997,102.2345
N.Sembilan,Kuala Pilah,Kuala Pilah,2.741,102.2438
N.Sembilan,Kuala Pilah,Kuala Pilah,2.713984,102.245576
N.Sembilan,Kuala Pilah,Kuala Pilah,2.7454,102.2468
N.Sembilan,Kuala Pilah,Kuala Pilah,2.754107,102.246949
N.Sembilan,Kuala Pilah,Kuala Pilah,2.738504,102.250383
N.Sembilan,Kuala Pilah,Kuala Pilah,2.7141,102.250684
N.Sembilan,Kuala Pilah,Kuala Pilah,2.738332,102.251241
N.Sembilan,Kuala Pilah,Kuala Pilah,2.8242,102.2675
N.Sembilan,Kuala Pilah,Kuala Pilah,2.7302,102.298
N.Sembilan,Port Dickson,Lukut,2.6315,101.7863
N.Sembilan,Port Dickson,Lukut,2.5602,101.8128
N.Sembilan,Port Dickson,Lukut,2.58745,101.827358
N.Sembilan,Port Dickson,Lukut,2.595301,101.828787
N.Sembilan,Port Dickson,Lukut,2.571,101.8306
N.Sembilan,Port Dickson,Lukut,2.581434,101.833074
N.Sembilan,Port Dickson,Lukut,2.572665,101.839301
N.Sembilan,Port Dickson,Lukut,2.5315,101.8406
N.Sembilan,Port Dickson,Lukut,2.5887,101.8439
N.Sembilan,Port Dickson,Lukut,2.583677,101.844812
N.Sembilan,Port Dickson,Lukut,2.58511,101.846048
N.Sembilan,Port Dickson,Lukut,2.4683,101.866
N.Sembilan,Rembau,Rembau,2.5127,102.0687
N.Sembilan,Rembau,Rembau,2.5504,102.0763
N.Sembilan,Rembau,Rembau,2.599278,102.09182
N.Sembilan,Rembau,Rembau,2.5905,102.0933
N.Sembilan,Rembau,Rembau,2.592154,102.094452
N.Sembilan,Rembau,Rembau,2.592,102.0989
N.Sembilan,Rembau,Rembau,2.599065,102.099095
N.Sembilan,Rembau,Rembau,2.587857,102.099475
N.Sembilan,Rembau,Rembau,2.594995,102.099577
N.Sembilan,Rembau,Rembau,2.598768,102.104273
N.Sembilan,Rembau,Rembau,2.6018,102.1113
N.Sembilan,Rembau,Rembau,2.5854,102.1607
N.Sembilan,Seremban,Enstek,2.747224,101.766066
N.Sembilan,Seremban,Enstek,2.765142,101.766581
N.Sembilan,Seremban,Nilai,2.801575,101.768076
N.Sembilan,Seremban,Enstek,2.7515,101.7743
N.Sembilan,Seremban,Nilai,2.8476,101.776
N.Sembilan,Seremban,Enstek,2.765742,101.776194
N.Sembilan,Seremban,Enstek,2.734,101.7783
N.Sembilan,Seremban,Enstek,2.7432,101.7834
N.Sembilan,Seremban,Nilai,2.8202,101.78672
N.Sembilan,Seremban,Nilai,2.836038,101.787988
N.Sembilan,Seremban,Nilai,2.85016,101.79728
N.Sembilan,Seremban,Nilai,2.840667,101.799833
N.Sembilan,Seremban,Nilai,2.866384,101.824724
N.Sembilan,Seremban,Nilai,2.8209,101.8289
N.Sembilan,Seremban,Seremban,2.685917,101.905904
N.Sembilan,Seremban,Seremban,2.6994,101.9127
N.Sembilan,Seremban,Seremban,2.695177,101.925474
N.Sembilan,Seremban,Seremban,2.763078,101.929937
N.Sembilan,Seremban,Seremban,2.723041,101.938117
N.Sembilan,Seremban,Seremban,2.7201,101.9409
N.Sembilan,Seremban,Seremban,2.7226,101.9415
N.Sembilan,Seremban,Seremban,2.734615,101.950879
N.Sembilan,Seremban,Seremban,2.7529,101.9773
N.Sembilan,Seremban,Seremban,2.696549,101.997228
N.Sembilan,Seremban,Seremban,2.6434,102.0161
N.Sembilan,Seremban,Seremban,2.6966,102.0411
N.Sembilan,Tampin,Tampin,2.479656,102.224607
N.Sembilan,Tampin,Tampin,2.467694,102.230444
N.Sembilan,Tampin,Tampin,2.466322,102.234607
N.Sembilan,Tampin,Tampin,2.480771,102.244906
N.Sembilan,Tampin,Tampin,2.472521,102.251571
N.Sembilan,Tampin,Tampin,2.46476,102.262738
Pahang,Bentong,Bentong,3.517039,101.903105
Pahang,Bentong,Bentong,3.5253,101.9043
Pahang,Bentong,Bentong,3.523235,101.905703
Pahang,Bentong,Bentong,3.5269,101.9068
Pahang,Bentong,Bentong,3.517904,101.913642
Pahang,Bentong,Bentong,3.50436,101.914148
Pahang,Bentong,Bentong,3.522782,101.91721
Pahang,Bentong,Bentong,3.502162,101.922383
Pahang,Bentong,Bentong,3.5665,101.972
Pahang,Bentong,Bentong,3.3636,101.983
Pahang,Bentong,Bentong,3.2101,102.1643
Pahang,Bentong,Bentong,3.2841,102.222
Pahang,Bera,Bandar Bera,3.2229,102.3686
Pahang,Bera,Bandar Bera,3.2453,102.413
Pahang,Bera,Bandar Bera,3.261978,102.434527
Pahang,Bera,Bandar Bera,3.263419,102.436944
Pahang,Bera,Bandar Bera,3.260104,102.437738
Pahang,Bera,Bandar Bera,3.257799,102.44012
Pahang,Bera,Bandar Bera,3.263227,102.444468
Pahang,Bera,Bandar Bera,3.25808,102.44605
Pahang,Bera,Bandar Bera,3.2715,102.4524
Pahang,Bera,Bandar Bera,3.1845,102.4674
Pahang,Bera,Bandar Bera,3.3655,102.5691
Pahang,Bera,Bandar Bera,3.0255,102.6762
